bug_id,issue_number,issue_url,reproducer_path,program,old_version,old_version_result,old_report_dir,new_version,new_version_result,new_report_dir,same_device_and_platform,env_old,env_new,issue_state,fix_pr_or_commit,fix_in_new_version,fix_evidence,evidence_type,checked_at
PT-0011,178125,https://github.com/pytorch/pytorch/issues/178125,plan/reproducers_gh/issue_178125_conv_transpose1d_meta_implementation_all.py,issue_178125_conv_transpose1d_meta_implementation_all,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [2 records, 3 tests, stage dynamo_capture; kind taken from the T4 2.10.0+cu128 run (gpu_reports_gh_cpu_set); Kaggle CPU record dirs not pulled]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 3 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-08-03",closing commit 3d99896d47; PR #188328 landed 0ce048439f,yes,"closing-event commit 3d99896d47: compare v2.14.0...sha = behind (fix_in_release.py, 2026-09-11) | PR #178572 closed, no landed commit found by commit search (Fixes) | PR #188328 (Fixes) landed 0ce048439f on 2026-09-16; vs v2.14.0: diverged",version-diff + fix commit,2026-09-25
PT-0012,178128,https://github.com/pytorch/pytorch/issues/178128,plan/reproducers_gh/issue_178128_conv_transpose3d_meta_execution_produces.py,issue_178128_conv_transpose3d_meta_execution_produces,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [2 records, 3 tests, stage dynamo_capture; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 3 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-08-03",closing commit 3d99896d47; PR #188328 landed 0ce048439f,yes,"closing-event commit 3d99896d47: compare v2.14.0...sha = behind (fix_in_release.py, 2026-09-11) | PR #178572 closed, no landed commit found by commit search (Fixes) | PR #188328 (Fixes) landed 0ce048439f on 2026-09-16; vs v2.14.0: diverged",version-diff + fix commit,2026-09-25
PT-0013,178262,https://github.com/pytorch/pytorch/issues/178262,plan/reproducers_gh/issue_178262_inductor_incorrect_stride_calculation_in.py,issue_178262_inductor_incorrect_stride_calculation_in,2.10.0+cpu,"diverged: value oracle [3 records, 6 tests, stage inductor_codegen; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 6 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-03-24",none found (closed manually; no landed PR cross-referenced),unknown,no closing commit and no cross-referenced PR found,version-diff only,2026-09-25
PT-0014,178964,https://github.com/pytorch/pytorch/issues/178964,plan/reproducers_gh/issue_178964_inductor_max_returns_incorrect_indices_w.py,issue_178964_inductor_max_returns_incorrect_indices_w,2.10.0+cpu,"diverged (kind unknown) [4 records, 16 tests, stage inductor_codegen; record dirs not pulled; kind unknown]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-04-16",closing commit 93c689cc25; PR #179525 landed 93c689cc25,yes,"closing-event commit 93c689cc25: compare v2.14.0...sha = behind (fix_in_release.py, 2026-09-11) | PR #179525 (Fixes) landed 93c689cc25 on 2026-04-16; vs v2.14.0: behind",version-diff + fix commit,2026-09-25
PT-0015,179383,https://github.com/pytorch/pytorch/issues/179383,plan/reproducers_gh/issue_179383_torch_quantile_and_torch_nanquantile_fai.py,issue_179383_torch_quantile_and_torch_nanquantile_fai,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [1 records, 9 tests, stage dynamo_capture; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 9 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-05-21",none found (closed manually; no landed PR cross-referenced),unknown,"PR #179389 closed, no landed commit found by commit search (Fixes)",version-diff only,2026-09-25
PT-0016,179534,https://github.com/pytorch/pytorch/issues/179534,plan/reproducers_gh/issue_179534_torch_compile_fails_on_aten_sparse_csr_t.py,issue_179534_torch_compile_fails_on_aten_sparse_csr_t,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [3 records, 6 tests, stage dynamo_capture; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 6 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-05-21",closing commit d565abc641,yes,"closing-event commit d565abc641: compare v2.14.0...sha = behind (fix_in_release.py, 2026-09-11) | PR #179616 (references issue) landed d565abc641 on 2026-05-21; vs v2.14.0: behind",version-diff + fix commit,2026-09-25
PT-0017,179807,https://github.com/pytorch/pytorch/issues/179807,plan/reproducers_gh/issue_179807_torch_compile_inductor_crash_f_pad_follo.py,issue_179807_torch_compile_inductor_crash_f_pad_follo,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [7 records, 16 tests, stage inductor_codegen; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-04-15",none found (closed manually; no landed PR cross-referenced),unknown,no closing commit and no cross-referenced PR found,version-diff only,2026-09-25
PT-0018,181175,https://github.com/pytorch/pytorch/issues/181175,plan/reproducers_gh/issue_181175_aot_autograd_runtimeerror_cannot_call_nu.py,issue_181175_aot_autograd_runtimeerror_cannot_call_nu,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [3 records, 6 tests, stage dynamo_capture; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 6 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-05-28",closing commit 849eb888e5; PR #184659 landed 849eb888e5,yes,"closing-event commit 849eb888e5: compare v2.14.0...sha = behind (fix_in_release.py, 2026-09-11) | PR #184659 (Fixes) landed 849eb888e5 on 2026-05-28; vs v2.14.0: behind",version-diff + fix commit,2026-09-25
PT-0019,181625,https://github.com/pytorch/pytorch/issues/181625,plan/reproducers_gh/issue_181625_assertionerror_expected_size_stride_mism.py,issue_181625_assertionerror_expected_size_stride_mism,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [3 records, 3 tests, stage inductor_codegen; kind taken from the T4 2.10.0+cu128 run (gpu_reports_gh_cpu_set); Kaggle CPU record dirs not pulled]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 3 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-04-29",none found (closed manually; no landed PR cross-referenced),unknown,no closing commit and no cross-referenced PR found,version-diff only,2026-09-25
PT-0020,181870,https://github.com/pytorch/pytorch/issues/181870,plan/reproducers_gh/issue_181870_torch_compile_dynamic_true_fails_on_f_cr.py,issue_181870_torch_compile_dynamic_true_fails_on_f_cr,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [1 records, 16 tests, stage dynamo_capture; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-06-01",closing commit 44932144f5; PR #182004 landed 44932144f5,yes,"closing-event commit 44932144f5: compare v2.14.0...sha = behind (fix_in_release.py, 2026-09-11) | PR #182004 (Fixes) landed 44932144f5 on 2026-06-01; vs v2.14.0: behind",version-diff + fix commit,2026-09-25
PT-0021,182399,https://github.com/pytorch/pytorch/issues/182399,plan/reproducers_gh/issue_182399_torch_compile_dynamic_true_fails_on_f_cr.py,issue_182399_torch_compile_dynamic_true_fails_on_f_cr,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [1 records, 16 tests, stage dynamo_capture; kind taken from the T4 2.10.0+cu128 run (gpu_reports_gh_cpu_set); Kaggle CPU record dirs not pulled]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 16 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (duplicate), closed 2026-05-05",none found (closed manually; no landed PR cross-referenced),unknown,"issue was closed as DUPLICATE, not completed",version-diff only,2026-09-25
PT-0022,182965,https://github.com/pytorch/pytorch/issues/182965,plan/reproducers_gh/issue_182965_torch_compile_silently_returns_a_result.py,issue_182965_torch_compile_silently_returns_a_result,2.10.0+cpu,"diverged: compiled raises where eager returns (exception) [1 records, 1 tests, stage aot_functionalization; record.json triage.kinds (Kaggle CPU 2.10 run)]",plan/kaggle_out/chenyuefei_notebookf4aab87efb/plan/reports_gh_cpu_2.10,2.14.0+cpu,ok: no divergence in 1 tests,plan/kaggle_out/chenyuefei_notebook955c6cac50/plan/reports_gh_cpu_2.14,"yes: both Kaggle Linux CPU notebooks (side A f4aab87efb = 2.10.0+cpu; side B 955c6cac50 = 2.14.0+cpu), same plan_kaggle.zip, backend inductor, reruns=2","torch 2.10.0+cpu, Python 3.12.13, Linux 6.12.90+ x86_64 glibc 2.35, g++, backend inductor (environment.txt in report dirs)","torch 2.14.0+cpu, device cpu, backend inductor (isolated_children.log; no environment.txt pulled, Python/kernel not recorded)","closed (completed), closed 2026-06-14",none found (closed manually; no landed PR cross-referenced),unknown,"PR #185559 closed, no landed commit found by commit search",version-diff only,2026-09-25
